"","Territory","total","foreign_ratio","females_ratio"
"212","Roma",221200,0.0464692585895118,0.530510849909584
"149","Milano",170249,0.0748785602264918,0.529788721225969
"162","Napoli",129208,0.0081573896353167,0.547094607145068
"245","Torino",90461,0.0831518554957385,0.50149788306563
"29","Bologna",59461,0.0632010897899463,0.542035956341131
"98","Firenze",48662,0.0737741975257901,0.588857835682874
"22","Bari",47687,0.014930693899805,0.572986348480718
"179","Padova",46945,0.0446479923314517,0.537224411545426
"192","Pisa",43839,0.0401240904217706,0.51737037797395
"56","Catania",41384,0.005799342741156,0.582447322636768
"180","Palermo",38053,0.00754211231703151,0.581951488713111
"99","Fisciano",32154,0.00845928966847049,0.574702991851714
"109","Genova",28000,0.0906071428571429,0.5565
"41","Cagliari",25230,0.00931430836305985,0.590289338089576
"209","Rende",25177,0.024943400722882,0.583191007665727
"181","Parma",23589,0.0625715375810759,0.559116537369113
"262","Venezia",22526,0.0525170913610938,0.625854568054692
"148","Messina",22132,0.0111151274173143,0.623350804265317
"183","Perugia",21288,0.0678786170612552,0.569428786170613
"182","Pavia",20322,0.0759275661844307,0.554669815962996
"264","Verona",20088,0.0543110314615691,0.647550776583035
"123","L'Aquila",16919,0.0317394645073586,0.564867899994089
"36","Brescia",16438,0.0618080058401265,0.520683781481932
"128","Lecce",16417,0.00956325759883048,0.637083510994701
"233","Siena",16096,0.0854870775347912,0.592196819085487
"250","Trento",15462,0.0534859655930669,0.497024964428923
"67","Chieti",15441,0.0160611359367917,0.672819117932776
"97","Ferrara",14639,0.05676617255277,0.547715007855728
"26","Bergamo",14434,0.0584730497436608,0.697727587640294
"152","Modena",14268,0.0625175217269414,0.468671152228764
"8","Ancona",13585,0.0447552447552448,0.442178873757821
"254","Trieste",13282,0.083948200572203,0.538322541785876
"256","Urbino",13118,0.0670071657264827,0.613279463332825
"255","Udine",12938,0.0616014840006183,0.515381048075437
"228","Sassari",11671,0.0163653500128524,0.649644417787679
"138","Macerata",9838,0.0433014840414718,0.7148810733889
"57","Catanzaro",9525,0.00808398950131234,0.594225721784777
"185","Pescara",9506,0.0277719335156743,0.578161161371765
"100","Foggia",8968,0.00981266726137377,0.610838537020517
"170","Novedrate",8925,0.0340616246498599,0.495574229691877
"51","Caserta",8375,0.0062089552238806,0.667940298507463
"269","Viterbo",7970,0.0245922208281054,0.496863237139272
"208","Reggio nell'Emilia",7797,0.0477106579453636,0.640502757470822
"52","Cassino",7394,0.0377332972680552,0.551663510954828
"169","Novara",7343,0.0670025874982977,0.608198284080076
"207","Reggio di Calabria",6744,0.0306939501779359,0.550563463819692
"259","Varese",6573,0.0537045489122166,0.485775140727217
"46","Campobasso",5866,0.0078418002045687,0.608591885441527
"103","Forlì",5688,0.0870253164556962,0.564697609001406
"90","Enna",5532,0.00379609544468547,0.634851771511208
"199","Potenza",5361,0.00932661816825219,0.534415221040851
"25","Benevento",5358,0.00447928331466965,0.511011571481896
"239","Teramo",4969,0.0187160394445562,0.583014691084725
"211","Rimini",4721,0.139589070112264,0.64816776106757
"45","Camerino",4626,0.116299178555988,0.471897968006917
"225","Santa Maria Capua Vetere",4341,0.00414651002073255,0.697535130154342
"19","Aversa",4319,0.00764065755962028,0.357490159759204
"63","Cesena",4254,0.0615890926187118,0.498824635637047
"266","Vicenza",3995,0.0350438047559449,0.363204005006258
"237","Taranto",3853,0.0051907604464054,0.472099662600571
"187","Piacenza",3662,0.0974877116329874,0.499726925177499
"114","Grugliasco",3591,0.0336953494848232,0.507658033973823
"78","Como",3412,0.101992966002345,0.572098475967175
