"ITTER107","Territory","TIPO_DATO6","Type of data","SEXISTAT1","Gender","TIME","Select year t (academic year = t-1 / t)","Value","Flag Codes","Flags"
"001272","Torino","16","university enrolments","1","males","2017","2017",45095,,
"001272","Torino","16","university enrolments","2","females","2017","2017",45366,,
"001272","Torino","16","university enrolments","9","total","2017","2017",90461,,
"002158","Vercelli","16","university enrolments","1","males","2017","2017",398,,
"002158","Vercelli","16","university enrolments","2","females","2017","2017",832,,
"002158","Vercelli","16","university enrolments","9","total","2017","2017",1230,,
"003106","Novara","16","university enrolments","1","males","2017","2017",2877,,
"003106","Novara","16","university enrolments","2","females","2017","2017",4466,,
"003106","Novara","16","university enrolments","9","total","2017","2017",7343,,
"004078","Cuneo","16","university enrolments","1","males","2017","2017",378,,
"004078","Cuneo","16","university enrolments","2","females","2017","2017",670,,
"004078","Cuneo","16","university enrolments","9","total","2017","2017",1048,,
"005005","Asti","16","university enrolments","1","males","2017","2017",444,,
"005005","Asti","16","university enrolments","2","females","2017","2017",465,,
"005005","Asti","16","university enrolments","9","total","2017","2017",909,,
"006003","Alessandria","16","university enrolments","1","males","2017","2017",1292,,
"006003","Alessandria","16","university enrolments","2","females","2017","2017",1581,,
"006003","Alessandria","16","university enrolments","9","total","2017","2017",2873,,
"096004","Biella","16","university enrolments","1","males","2017","2017",35,,
"096004","Biella","16","university enrolments","2","females","2017","2017",216,,
"096004","Biella","16","university enrolments","9","total","2017","2017",251,,
"007003","Aosta","16","university enrolments","1","males","2017","2017",122,,
"007003","Aosta","16","university enrolments","2","females","2017","2017",593,,
"007003","Aosta","16","university enrolments","9","total","2017","2017",715,,
"012133","Varese","16","university enrolments","1","males","2017","2017",3380,,
"012133","Varese","16","university enrolments","2","females","2017","2017",3193,,
"012133","Varese","16","university enrolments","9","total","2017","2017",6573,,
"013075","Como","16","university enrolments","1","males","2017","2017",1460,,
"013075","Como","16","university enrolments","2","females","2017","2017",1952,,
"013075","Como","16","university enrolments","9","total","2017","2017",3412,,
"014061","Sondrio","16","university enrolments","1","males","2017","2017",18,,
"014061","Sondrio","16","university enrolments","2","females","2017","2017",82,,
"014061","Sondrio","16","university enrolments","9","total","2017","2017",100,,
"015146","Milano","16","university enrolments","1","males","2017","2017",80053,,
"015146","Milano","16","university enrolments","2","females","2017","2017",90196,,
"015146","Milano","16","university enrolments","9","total","2017","2017",170249,,
"016024","Bergamo","16","university enrolments","1","males","2017","2017",4363,,
"016024","Bergamo","16","university enrolments","2","females","2017","2017",10071,,
"016024","Bergamo","16","university enrolments","9","total","2017","2017",14434,,
"017029","Brescia","16","university enrolments","1","males","2017","2017",7879,,
"017029","Brescia","16","university enrolments","2","females","2017","2017",8559,,
"017029","Brescia","16","university enrolments","9","total","2017","2017",16438,,
"018110","Pavia","16","university enrolments","1","males","2017","2017",9050,,
"018110","Pavia","16","university enrolments","2","females","2017","2017",11272,,
"018110","Pavia","16","university enrolments","9","total","2017","2017",20322,,
"019036","Cremona","16","university enrolments","1","males","2017","2017",692,,
"019036","Cremona","16","university enrolments","2","females","2017","2017",684,,
"019036","Cremona","16","university enrolments","9","total","2017","2017",1376,,
"020030","Mantova","16","university enrolments","1","males","2017","2017",322,,
"020030","Mantova","16","university enrolments","2","females","2017","2017",566,,
"020030","Mantova","16","university enrolments","9","total","2017","2017",888,,
"097042","Lecco","16","university enrolments","1","males","2017","2017",1133,,
"097042","Lecco","16","university enrolments","2","females","2017","2017",646,,
"097042","Lecco","16","university enrolments","9","total","2017","2017",1779,,
"098031","Lodi","16","university enrolments","1","males","2017","2017",12,,
"098031","Lodi","16","university enrolments","2","females","2017","2017",41,,
"098031","Lodi","16","university enrolments","9","total","2017","2017",53,,
"108033","Monza","16","university enrolments","1","males","2017","2017",680,,
"108033","Monza","16","university enrolments","2","females","2017","2017",1121,,
"108033","Monza","16","university enrolments","9","total","2017","2017",1801,,
"021008","Bolzano/Bozen","16","university enrolments","1","males","2017","2017",936,,
"021008","Bolzano/Bozen","16","university enrolments","2","females","2017","2017",1310,,
"021008","Bolzano/Bozen","16","university enrolments","9","total","2017","2017",2246,,
"022205","Trento","16","university enrolments","1","males","2017","2017",7777,,
"022205","Trento","16","university enrolments","2","females","2017","2017",7685,,
"022205","Trento","16","university enrolments","9","total","2017","2017",15462,,
"023091","Verona","16","university enrolments","1","males","2017","2017",7080,,
"023091","Verona","16","university enrolments","2","females","2017","2017",13008,,
"023091","Verona","16","university enrolments","9","total","2017","2017",20088,,
"024116","Vicenza","16","university enrolments","1","males","2017","2017",2544,,
"024116","Vicenza","16","university enrolments","2","females","2017","2017",1451,,
"024116","Vicenza","16","university enrolments","9","total","2017","2017",3995,,
"026086","Treviso","16","university enrolments","1","males","2017","2017",930,,
"026086","Treviso","16","university enrolments","2","females","2017","2017",1744,,
"026086","Treviso","16","university enrolments","9","total","2017","2017",2674,,
"027042","Venezia","16","university enrolments","1","males","2017","2017",8428,,
"027042","Venezia","16","university enrolments","2","females","2017","2017",14098,,
"027042","Venezia","16","university enrolments","9","total","2017","2017",22526,,
"028060","Padova","16","university enrolments","1","males","2017","2017",21725,,
"028060","Padova","16","university enrolments","2","females","2017","2017",25220,,
"028060","Padova","16","university enrolments","9","total","2017","2017",46945,,
"029041","Rovigo","16","university enrolments","1","males","2017","2017",451,,
"029041","Rovigo","16","university enrolments","2","females","2017","2017",1504,,
"029041","Rovigo","16","university enrolments","9","total","2017","2017",1955,,
"030129","Udine","16","university enrolments","1","males","2017","2017",6270,,
"030129","Udine","16","university enrolments","2","females","2017","2017",6668,,
"030129","Udine","16","university enrolments","9","total","2017","2017",12938,,
"031007","Gorizia","16","university enrolments","1","males","2017","2017",560,,
"031007","Gorizia","16","university enrolments","2","females","2017","2017",992,,
"031007","Gorizia","16","university enrolments","9","total","2017","2017",1552,,
"032006","Trieste","16","university enrolments","1","males","2017","2017",6132,,
"032006","Trieste","16","university enrolments","2","females","2017","2017",7150,,
"032006","Trieste","16","university enrolments","9","total","2017","2017",13282,,
"093033","Pordenone","16","university enrolments","1","males","2017","2017",557,,
"093033","Pordenone","16","university enrolments","2","females","2017","2017",416,,
"093033","Pordenone","16","university enrolments","9","total","2017","2017",973,,
"008031","Imperia","16","university enrolments","1","males","2017","2017",273,,
"008031","Imperia","16","university enrolments","2","females","2017","2017",487,,
"008031","Imperia","16","university enrolments","9","total","2017","2017",760,,
"009056","Savona","16","university enrolments","1","males","2017","2017",782,,
"009056","Savona","16","university enrolments","2","females","2017","2017",638,,
"009056","Savona","16","university enrolments","9","total","2017","2017",1420,,
"010025","Genova","16","university enrolments","1","males","2017","2017",12418,,
"010025","Genova","16","university enrolments","2","females","2017","2017",15582,,
"010025","Genova","16","university enrolments","9","total","2017","2017",28000,,
"011015","La Spezia","16","university enrolments","1","males","2017","2017",609,,
"011015","La Spezia","16","university enrolments","2","females","2017","2017",320,,
"011015","La Spezia","16","university enrolments","9","total","2017","2017",929,,
"033032","Piacenza","16","university enrolments","1","males","2017","2017",1832,,
"033032","Piacenza","16","university enrolments","2","females","2017","2017",1830,,
"033032","Piacenza","16","university enrolments","9","total","2017","2017",3662,,
"034027","Parma","16","university enrolments","1","males","2017","2017",10400,,
"034027","Parma","16","university enrolments","2","females","2017","2017",13189,,
"034027","Parma","16","university enrolments","9","total","2017","2017",23589,,
"035033","Reggio nell'Emilia","16","university enrolments","1","males","2017","2017",2803,,
"035033","Reggio nell'Emilia","16","university enrolments","2","females","2017","2017",4994,,
"035033","Reggio nell'Emilia","16","university enrolments","9","total","2017","2017",7797,,
"036023","Modena","16","university enrolments","1","males","2017","2017",7581,,
"036023","Modena","16","university enrolments","2","females","2017","2017",6687,,
"036023","Modena","16","university enrolments","9","total","2017","2017",14268,,
"037006","Bologna","16","university enrolments","1","males","2017","2017",27231,,
"037006","Bologna","16","university enrolments","2","females","2017","2017",32230,,
"037006","Bologna","16","university enrolments","9","total","2017","2017",59461,,
"038008","Ferrara","16","university enrolments","1","males","2017","2017",6621,,
"038008","Ferrara","16","university enrolments","2","females","2017","2017",8018,,
"038008","Ferrara","16","university enrolments","9","total","2017","2017",14639,,
"039014","Ravenna","16","university enrolments","1","males","2017","2017",870,,
"039014","Ravenna","16","university enrolments","2","females","2017","2017",1635,,
"039014","Ravenna","16","university enrolments","9","total","2017","2017",2505,,
"040012","Forlì","16","university enrolments","1","males","2017","2017",2476,,
"040012","Forlì","16","university enrolments","2","females","2017","2017",3212,,
"040012","Forlì","16","university enrolments","9","total","2017","2017",5688,,
"099014","Rimini","16","university enrolments","1","males","2017","2017",1661,,
"099014","Rimini","16","university enrolments","2","females","2017","2017",3060,,
"099014","Rimini","16","university enrolments","9","total","2017","2017",4721,,
"045010","Massa","16","university enrolments","1","males","2017","2017",1,,
"045010","Massa","16","university enrolments","2","females","2017","2017",2,,
"045010","Massa","16","university enrolments","9","total","2017","2017",3,,
"046017","Lucca","16","university enrolments","1","males","2017","2017",63,,
"046017","Lucca","16","university enrolments","2","females","2017","2017",159,,
"046017","Lucca","16","university enrolments","9","total","2017","2017",222,,
"047014","Pistoia","16","university enrolments","1","males","2017","2017",32,,
"047014","Pistoia","16","university enrolments","2","females","2017","2017",52,,
"047014","Pistoia","16","university enrolments","9","total","2017","2017",84,,
"048017","Firenze","16","university enrolments","1","males","2017","2017",20007,,
"048017","Firenze","16","university enrolments","2","females","2017","2017",28655,,
"048017","Firenze","16","university enrolments","9","total","2017","2017",48662,,
"049009","Livorno","16","university enrolments","1","males","2017","2017",587,,
"049009","Livorno","16","university enrolments","2","females","2017","2017",229,,
"049009","Livorno","16","university enrolments","9","total","2017","2017",816,,
"050026","Pisa","16","university enrolments","1","males","2017","2017",21158,,
"050026","Pisa","16","university enrolments","2","females","2017","2017",22681,,
"050026","Pisa","16","university enrolments","9","total","2017","2017",43839,,
"051002","Arezzo","16","university enrolments","1","males","2017","2017",194,,
"051002","Arezzo","16","university enrolments","2","females","2017","2017",819,,
"051002","Arezzo","16","university enrolments","9","total","2017","2017",1013,,
